               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.024936,             0.04363,            0.032152,             0.91549,             0.84115,             0.86501,             0.58658,            0.022421,            0.047769,            0.032111,           0.0002872,           0.0002872,           0.0002872
                 146,            0.024954,             0.04406,             0.03217,             0.90692,             0.84682,             0.86559,             0.58564,            0.022395,            0.047871,            0.032112,          0.00028225,          0.00028225,          0.00028225
                 147,            0.025075,            0.043881,            0.032153,             0.91266,             0.84174,             0.86334,              0.5862,            0.022428,            0.047891,            0.032115,           0.0002773,           0.0002773,           0.0002773
                 148,            0.024936,            0.043299,            0.032147,             0.91429,              0.8417,             0.86894,             0.58826,            0.022397,            0.047888,             0.03211,          0.00027235,          0.00027235,          0.00027235
                 149,            0.024907,            0.043875,            0.032146,             0.90851,             0.84224,              0.8674,              0.5887,            0.022305,            0.047795,            0.032106,           0.0002674,           0.0002674,           0.0002674
                 150,               0.025,            0.044036,            0.032143,             0.90209,             0.84489,             0.86382,             0.58763,            0.022247,            0.047711,            0.032104,          0.00026245,          0.00026245,          0.00026245
                 151,            0.024838,            0.043552,            0.032158,             0.91185,             0.84402,             0.86544,             0.58822,            0.022192,            0.047649,            0.032101,           0.0002575,           0.0002575,           0.0002575
                 152,            0.025287,            0.043661,            0.032179,             0.90715,             0.84352,              0.8636,             0.58811,            0.022175,             0.04765,            0.032104,          0.00025255,          0.00025255,          0.00025255
                 153,            0.024767,            0.043704,            0.032149,             0.90681,             0.84384,              0.8626,             0.58967,            0.022156,            0.047404,            0.032103,           0.0002476,           0.0002476,           0.0002476
                 154,            0.024969,            0.043797,            0.032142,             0.90847,             0.84323,             0.86528,             0.59158,            0.022212,            0.047319,            0.032101,          0.00024265,          0.00024265,          0.00024265
                 155,            0.024755,            0.043277,            0.032135,             0.90832,             0.84382,             0.86456,             0.59034,            0.022231,            0.047218,            0.032098,           0.0002377,           0.0002377,           0.0002377
